playerID,player,height_m,weight_kg,racketLength_in,racketWeight_g,swingWeight_kgxcm2,recoilWeight_kgxcm2,polarization,mgr_i,stringID,backhandHands,racketID
1,Alexei Popyrin,1.96,78,27.0,338,370,194.3,0.57,19.48,9,2,87
2,Andre Agassi,1.8,80,27.0,366.6,351,162,0.44,21.22,10,2,1
3,Andy Murray,1.91,82,27.0,353,358,168,0.48,20.63,11,2,1
4,Andy Roddick,1.88,88,27.5,345,360,182.2,0.53,20.07,10,2,10
5,Andrey Rublev,1.88,75,27.0,359,335,176.7,0.49,20.92,12,2,9
6,Aslan Karatsev,1.85,85,27.0,340,340,175.4,0.52,20.37,8,2,39
7,Borna Coric,1.88,85,27.0,353,355,165,0.47,20.74,11,2,28
8,Cameron Norrie,1.88,82,27.0,346,324,156.5,0.45,21.25,11,2,119
9,Carlos Moya,1.9,86,27.0,322,408,164,0.51,19.2,13,1,125
10,Daniil Medvedev,1.98,83,27.0,355,340,174.4,0.49,20.8,14,2,126
11,David Ferrer,1.75,73,27.8,350.1,368,176.7,0.5,20.22,11,2,127
12,David Nalbandian,1.8,79,27.5,377,377,189.5,0.5,20.49,13,2,148
13,Dominic Thiem,1.85,79,27.0,339,345,177.9,0.52,20.22,15,1,119
14,Ernests Gulbis,1.91,85,27.0,349,350,171.7,0.49,20.56,11,2,15
15,Fabio Fognini,1.78,79,27.0,342,346,158.5,0.46,20.74,16,2,10
16,Felix A. Aliassime,1.93,88,27.0,340,345,165.1,0.49,20.55,16,2,129
17,Frances Tiafoe,1.88,86,27.0,335,330,152.8,0.46,20.94,17,2,71
18,Gael Monfils,1.93,85,27.5,361,345,185.8,0.51,20.6,11,2,82
19,Goran Ivanisevic,1.93,82,27.0,379,356,180.8,0.48,21.02,18,2,13
20,Grigor Dimitrov,1.91,81,27.0,352,367,172.6,0.49,20.37,19,1,15
21,Hyeon Chung,1.88,89,27.0,351,335,166.7,0.47,20.96,11,2,72
22,Ivo Karlovic,2.11,104,27.0,362.9,375,202.3,0.56,19.88,11,1,39
23,Jack Sock,1.9,88,27.0,336,332,169.4,0.5,20.53,10,2,129
24,Jo-Wilfried Tsonga,1.88,93,27.5,341,340,164.3,0.48,20.67,11,2,76
25,Juan Martin Del Potro,1.98,97,27.4,367,355,186.9,0.51,20.59,11,2,15
26,Jurgen Melzer,1.83,80,27.7,331,337,159.6,0.48,20.56,20,2,17
27,Karen Kachanov,1.98,87,27.0,336,341,169.4,0.5,20.4,11,2,133
28,Kei Nishikori,1.78,73,27.7,343,355,175.1,0.51,20.25,21,2,28
29,Kevin Anderson,2.03,94,27.0,370.9,353,177.6,0.48,20.94,11,2,17
30,Lleyton Hewitt,1.78,77,27.0,369.7,343,171.3,0.46,21.21,11,2,22
31,Lucas Pouille,1.85,81,27.0,348,351,173.3,0.5,20.48,22,2,60
32,Matteo Berrettini,1.96,95,27.0,353,353,163,0.46,20.81,23,2,81
33,Milos Raonic,1.96,98,27.0,346,357,172.6,0.5,20.35,24,2,133
34,Nick Kyrgios,1.93,85,27.0,342,323,159,0.46,21.1,25,2,22
35,Nikolay Davydenko,1.78,72,27.6,346,352,165.8,0.48,20.59,26,2,17
36,Novak Djokovic,1.88,77,27.2,357,364,183.3,0.51,20.3,11,2,41
37,Patrick Rafter,1.85,86,27.0,360,355,175.2,0.49,20.69,10,1,189
38,Rafael Nadal,1.85,85,27.0,343,367,174.3,0.51,20.1,27,2,129
39,Rickard Gasquet,1.83,79,27.0,361,381,199.9,0.55,19.81,13,1,81
40,Robin Soderling,1.93,87,27.1,362.5,384,186.1,0.51,20.11,11,1,39
41,Roger Federer,1.85,85,27.0,366,344,173.2,0.47,21.05,11,1,15
42,Stanislas Wawrinka,1.83,81,27.0,375,360,174.3,0.46,21.01,1,1,71
43,Stefanos Tsitsipas,1.93,89,27.0,334,343,167.8,0.5,20.35,19,1,133
44,Taylor Fritz,1.93,86,27.0,321,355,170.1,0.53,19.77,8,2,109
45,Tennys Sandgren,1.88,88,27.0,350,350,168.1,0.48,20.67,11,2,133
46,Thomas Berdych,1.96,91,27.0,369,362,186.6,0.51,20.55,28,2,24
47,Tommy Haas,1.88,84,27.0,359,352,184,0.51,20.5,10,1,1
48,Yoshiito Nishioka,1.7,64,27.0,343,311,155.4,0.45,21.42,10,2,37
