modelID,brand,price_Dol,headSize_in2,length_in,weightUnstrung_g,minTension_kg,maxTension_kg,beamWidth_mm,flex,powerLevel,stringPattern_VxH
1,Head,239.95,98,27,315,21.77,25.85,20,64,Low,16x19
2,Tecnifibre,209.95,100,27,280,22.22,24.94,23,70,Medium,16x19
3,Tecnifibre,229.95,98,27,305,22.22,24.94,22.5,68,Low,18x19
4,Tecnifibre,219.95,98,27,300,22.22,24.94,22.5,67,Low,16x19
5,Tecnifibre,209.95,100,27,295,22.22,24.94,23,72,Medium,16x19
6,Wilson,129,100,27,261,22.67,27.21,23,66,Medium,18x16
7,Wilson,139,100,27,278,22.67,27.21,23,69,Medium,16x19
8,Head,199.95,104,27,285,21.77,25.85,24,60,Medium,16x20
9,Head,239.95,100,27,315,21.77,25.85,20,62,Low,18x20
10,Babolat,229,100,27.5,300,22.67,26.76,23,70,Medium,16x19
11,Yonex,239,100,27,300,20.41,27.21,24,66,Medium,16x19
12,Yonex,239,100,27,285,20.41,27.21,23.5,68,Medium,16x19
13,Head,229.95,100,27,295,21.77,25.85,22,61,Low,16x20
14,Babolat,209,100,27,286,22.67,26.76,23,70,Medium,16x19
15,Wilson,219,97,27,290,22.67,27.21,23,70,Medium,16x19
16,Head,189.95,104,27,270,23.58,28.12,24,60,High,16x20
17,Dunlop,219.99,95,27,315,20.41,29.48,20.5,63,Low,18x20
18,Wilson,199,100,27,300,21.77,25.85,24,72,Medium,16x19
19,Wilson,139,100,27,281,22.67,27.21,23,69,Medium,18x16
20,Head,179.95,107,27.2,270,21.77,25.85,23,62,Medium,16x19
21,Yonex,229,100,27,280,20.41,27.21,24,66,Medium,16x19
22,Yonex,239,98,27,305,20.41,27.21,22.5,65,Low,16x19
23,Yonex,229,98,27,285,20.41,27.21,22.5,65,Low,16x19
24,Head,229.95,100,27,300,21.77,25.85,23,64,Low,16x19
25,Tecnifibre,229.95,98,27,315,22.22,24.94,22.5,69,Low,16x19
26,Yonex,239,100,27,300,20.41,27.21,23.5,68,Medium,16x19
27,Pro,199,100,27,300,22.67,29.48,21,55,Low,16x19
28,Wilson,159,100,27,300,22.67,27.21,23,73,Medium,16x19
29,Wilson,149,100,27,303,22.67,27.21,23,72,Medium,16x19
30,Wilson,149,100,27,301,22.67,27.21,23,71,Medium,18x16
31,Dunlop,219.99,95,27,309,20.41,27.21,20.5,63,Low,16x19
32,Babolat,209,107,27.2,286,22.67,26.76,23,66,Medium,16x19
33,Dunlop,199.99,100,27,300,20.41,29.48,23,67,Medium,16x19
34,Head,199.95,102,27,280,21.77,25.85,22,60,Medium,16x19
35,Babolat,199,100,27,269,22.67,26.76,23,70,Medium,16x19
36,Babolat,229,100,27,315,22.67,26.76,23,72,Low,16x19
37,Yonex,239,98,27,305,20.41,27.21,23,64,Medium,16x19
38,Dunlop,199.99,105,27,295,20.41,29.48,21.5,62,Medium,16x19
39,Head,229.95,98,27,300,21.77,25.85,20,64,Medium,16x19
40,Head,179.95,100,27,300,21.77,25.85,23,63,Medium,16x19
41,Head,239.95,100,27,309,21.77,25.85,23,62,Low,18x20
42,Dunlop,199.99,98,27,290,20.41,29.48,21.5,64,Medium,16x19
43,Babolat,209,110,27.6,255,22.67,26.76,24,70,High,16x19
44,Yonex,239,95,27,310,20.41,27.21,21.5,64,Low,16x20
45,Pro,199,100,27,315,22.67,29.48,21,56,Low,16x19
46,Dunlop,199.99,100,27,285,20.41,29.48,24,70,Medium,16x19
47,Head,89.95,100,27,285,21.77,25.85,22,68,Low,16x19
48,Volkl,189.99,100,27,275,22.67,27.21,24,69,Medium,16x19
49,Yonex,229,100,27.5,300,18.14,24.94,23.5,70,Medium,16x19
50,Dunlop,199.99,100,27,300,20.41,29.48,23,65,Medium,16x19
51,Head,99.95,98,27,295,21.77,25.85,20,64,Low,16x19
52,Volkl,209.99,100,27,310,22.67,27.21,24,68,Low,16x19
53,Yonex,189,108,27.25,255,18.14,24.94,26,67,High,16x18
54,Tecnifibre,229.95,98,27,315,22.22,26.76,21.7,66,Low,18x20
55,Tecnifibre,179.95,100,26.6,285,22.67,24.94,24,68,Medium,16x19
56,Head,239.95,100,27,309,21.77,25.85,23,62,Low,18x20
57,Babolat,99,102,27,281,22.67,24.94,23,68,Medium,16x19
58,Head,189.95,105,27,275,23.58,28.12,23,66,Medium,16x19
59,Dunlop,179.99,100,27,270,20.41,29.48,23,71,Medium,16x19
60,Head,229.95,93,27,320,21.77,25.85,20,65,Low,16x19
61,Yonex,219,98,27,285,20.41,27.21,23,64,Medium,16x19
62,Head,229.95,95,27,315,21.77,25.85,22,65,Low,16x19
63,Head,219.95,100,27,275,21.77,25.85,23,64,Low,16x19
64,Volkl,219.99,105,27.6,275,20.86,27.21,25,68,High,16x19
65,Dunlop,199.99,98,27,305,20.41,29.48,21,70,Medium,16x19
66,Wilson,179,100,27,257,21.31,25.85,24,68,Medium,16x19
67,Volkl,209.99,100,27,300,22.67,27.21,22,67,Low,16x18
68,Babolat,129,112,27.5,264,22.67,26.76,26,72,High,16x19
69,Yonex,179,98,27,270,20.41,27.21,23,68,Medium,16x19
70,Head,99.95,100,27,300,21.77,25.85,22,67,Low,16x19
71,Yonex,239,97,27,310,20.41,27.21,20,64,Low,16x19
72,Wilson,249,102,28,305,21.77,25.85,22,68,Low,18x19
73,Babolat,99,102,27,260,22.67,24.94,23,67,Medium,16x19
74,Yonex,159,102,27,250,20.41,27.21,24,68,Medium,16x18
75,Dunlop,179.99,107,27.5,265,20.41,29.48,23,70,High,16x19
76,Babolat,229,100,27,300,22.67,26.76,23,70,Medium,16x19
77,Yonex,229,98,27,315,18.14,24.94,23,63,Low,16x19
78,Dunlop,179.99,100,27,285,20.41,29.48,23,68,Medium,16x19
79,Dunlop,179.99,100,27,270,20.41,29.48,23,67,Medium,16x19
80,Yonex,239,97,27,330,20.41,27.21,20,65,Low,16x19
81,Head,199.95,100,27,300,23.58,28.12,23,66,Medium,16x19
82,Wilson,199,100,27,300,21.31,25.85,24,72,Medium,16x19
83,Wilson,189,108,27.25,270,21.31,25.85,26,69,High,16x18
84,Head,189.95,105,27,265,23.58,28.12,23,66,Medium,16x19
85,Yonex,209,105,27,275,20.41,27.21,26,67,High,16x19
86,Head,219.95,98,27,305,21.77,25.85,21,66,Low,16x19
87,Babolat,259,98,27,305,22.67,26.76,21,67,Low,16x20
88,Volkl,209.99,100,27,285,22.67,27.21,22,70,Medium,16x18
89,Yonex,239,100,27,300,20.41,27.21,21,66,Medium,16x19
90,Tecnifibre,179.95,100,26.6,270,22.67,24.94,24,71,Medium,14x18
91,Yonex,229,100,27,300,20.41,27.21,23.5,68,Medium,16x19
92,Dunlop,179.99,100,27,285,20.41,29.48,23,71,Medium,16x19
93,Wilson,199,115,27.9,239,24.94,29.48,27,71,High,16x19
94,Yonex,229,98,27.5,305,18.14,24.94,23,64,Medium,16x19
95,Head,199.95,100,27,265,21.77,25.85,25,68,Medium,16x19
96,Head,199.95,115,27.4,255,23.58,28.12,26,69,High,16x19
97,Yonex,209,100,27,270,18.14,24.94,23.5,67,Medium,16x18
98,Yonex,219,100,27,285,20.41,27.21,23.5,68,Medium,16x19
99,Head,89.95,102,27,280,21.77,25.85,22,60,Medium,16x19
100,Yonex,239,97,27,320,20.41,27.21,20,60,Low,18x20
101,Dunlop,179.99,105,27.25,270,18.14,27.21,23,66,High,16x19
102,Babolat,159,102,27,280,22.67,24.94,23,65,Medium,16x19
103,Head,229.95,100,27,300,21.77,25.85,23,64,Low,16x19
104,Yonex,209,100,27,270,18.14,24.94,23.5,67,Medium,16x18
105,Tecn,179.95,105,26.6,260,22.67,24.94,24,68,Medium,16x19
106,Head,229.95,98,27,320,21.77,25.85,20,60,Low,18x20
107,Yonex,229,98,27,305,20.41,27.21,23,64,Medium,16x19
108,Head,209.95,100,27,285,21.77,25.85,25,69,Medium,16x19
109,Head,229.95,99,27,305,21.77,25.85,21.5,65,Low,18x19
110,Head,179.95,115,27.7,230,23.58,28.12,29,66,High,16x19
111,Wilson,189,100,27,280,21.31,25.85,24,69,Medium,16x19
112,Dunlop,199.99,100,27,300,20.41,29.48,23,71,Medium,16x19
113,Dunlop,199.99,100,27,310,20.41,29.48,23,65,Medium,16x19
114,Yonex,239,100,27,280,20.41,27.21,21,66,Medium,16x19
115,Volkl,199.99,100,27,305,22.67,27.21,22,68,Low,18x20
116,Volkl,209.99,100,27,315,22.67,27.21,22,66,Low,16x18
117,Pro,179,100,27.5,310,22.67,29.48,21.5,66,Low,16x20
118,Babolat,219,98,27,320,22.67,26.76,21,66,Low,16x19
119,Babolat,249,98,27,300,22.67,26.76,21,66,Low,16x19
120,Volkl,219.99,110,27.8,270,20.86,27.21,28,69,High,16x19
121,Pro,169,98,27,300,22.67,29.48,19.5,63,Low,16x19
122,Pro,189,105,27.5,260,22.67,29.48,26,72,Medium,16x19
123,Yonex,229,100,27,301,20.41,27.21,24,65,Low,16x19
124,Yonex,229,98,27,306,20.41,27.21,22,63,Low,16x19
125,Babolat,229,100,27.5,300,22.67,26.76,23,65,Low,16x19
126,Tecnifibre,229.95,98,27,305,22.22,26.76,21.7,65,Low,18x20
127,Babolat,219,100,27,300,22.67,26.76,21,68,Low,16x19
128,Tecnifibre,209.95,100,27,285,22.22,26.76,25,73,Medium,16x19
129,Babolat,229,100,27,301,22.67,26.76,23,67,Medium,16x19
130,Wilson,249,100,27,310,21.77,26.30,24.5,50,Low,16x19
131,Volkl,179.99,98,27,329,22.67,27.21,20,60,Low,16x19
132,Yonex,229,100,27.5,300,20.41,27.21,24,68,Medium,16x19
133,Wilson,219,98,27,305,22.67,27.21,20.6,62,Low,18x20
134,Dunlop,99.99,98,27,289,20.41,27.21,21.5,63,Medium,16x19
135,Wilson,229,108,27.25,280,21.77,26.30,24.5,54,Medium,16x19
136,Head,129.95,104,27,270,21.77,25.85,24,60,High,16x20
137,Yonex,229,98,27,306,20.41,27.21,22,65,Low,16x19
138,Volkl,249.99,115,27.8,255,21.77,26.30,27,70,High,16x17
139,Babolat,199,100,27,269,22.67,26.76,23,67,Medium,16x19
140,Volkl,199.99,98,27,320,22.67,27.21,20,66,Low,16x19
141,Volkl,149.99,100,27,260,22.67,27.21,22,70,Medium,16x18
142,Head,129.95,104,27,285,21.77,25.85,24,60,Medium,16x20
143,Yonex,229,98,27,289,22.22,24.94,22,65,Medium,16x19
144,Pro,179,100,27,290,22.67,29.48,21.5,66,Medium,16x20
145,Volkl,199.99,99,27,305,22.67,27.21,23,70,Medium,16x19
146,Babolat,209,100,27,285,22.67,26.76,21,69,Medium,16x19
147,Pro,169,98,27,315,22.67,29.48,19.5,63,Low,16x19
148,Yonex,229,98,27.5,305,20.41,27.21,22,64,Medium,16x19
149,Volkl,169.99,102,27,286,22.67,27.21,25,69,Medium,16x19
150,Babolat,169,115,27.6,241,22.67,24.94,25,66,High,16x20
151,Wilson,219,98,27,305,22.67,27.21,20.6,62,Low,16x19
152,Wilson,199,100,27,265,21.77,26.30,24.5,54,Medium,16x19
153,Pro,179,100,27,310,22.67,29.48,21.5,66,Low,16x20
154,Yonex,229,100,27,301,20.41,27.21,24,69,Medium,16x19
155,Babolat,219,98,27,306,22.67,26.76,21,67,Low,16x19
156,Dunlop,99.99,98,27,306,20.41,27.21,21.5,64,Low,16x19
157,Babolat,229,100,27,315,22.67,26.76,23,65,Low,16x19
158,Wilson,229,100,27,280,21.77,26.30,24.5,52,Medium,16x19
159,Yonex,179,100,27,272,22.22,24.94,24,65,High,16x19
160,Wilson,199,104,27.5,290,22.67,27.21,22,60,Medium,16x19
161,Tecnifibre,209.95,100,27,270,22.22,26.76,25,73,Medium,16x19
162,Volkl,179.99,104,27.3,290,22.67,27.21,23,70,Medium,16x19
163,Volkl,199.99,110,27.6,285,22.67,27.21,26,68,High,16x19
164,Volkl,229.99,115,27.6,266,22.67,27.21,28,68,High,16x19
165,Babolat,209,100,27,286,22.67,26.76,23,67,Medium,16x19
166,Wilson,249,100,27,295,21.77,26.30,24.5,49,Low,16x19
167,Wilson,199,100,27,285,22.67,27.21,22,68,Medium,16x19
168,Pro,189,105,27.5,285,22.67,29.48,26,72,Medium,16x19
169,Dunlop,229,115,27.5,255,20.41,27.21,27,75,High,16x18
170,Yonex,179,100,27,272,22.22,24.94,24,65,High,16x19
171,Volkl,199.99,102,27,285,22.67,27.21,25,68,Medium,16x19
172,Babolat,219,98,27,306,22.67,26.76,21,67,Low,18x20
173,Pro,169,98,27,325,22.67,29.48,19.5,63,Low,18x20
174,Wilson,249,98,27,309,21.77,26.30,24,52,Low,16x19
175,Volkl,199.99,98,27,301,22.67,27.21,20,69,Low,16x19
176,Dunlop,229,110,27.5,255,20.41,27.21,26,76,High,16x18
177,Pro,159.99,100,27,298,22.67,29.48,22,65,Low,16x20
178,Gamma,219.99,137,29,278,22.67,29.48,22,64,High,18x21
179,Babolat,219,100,27,315,22.67,26.76,23,70,Low,16x19
180,Head,89.95,107,27,295,23.58,28.12,21,56,Low,18x19
181,Pro,169.99,105,27.5,298,22.67,29.48,25,70,Medium,16x19
182,Wilson,99,110,27.5,238,24.04,28.57,28,70,Medium,16x20
183,Yonex,259,115,27.25,261,18.14,27.21,26,69,Medium,16x17
184,Babolat,219,100,27.5,315,22.67,26.76,23,69,Low,16x19
185,Babolat,159,115,27.6,241,22.67,24.94,25,66,High,16x20
186,Pacific,129.95,100,27.38,286,22.67,27.21,25.5,65,Medium,16x19
187,Pro,129.95,100,27,295,22.67,29.48,22.5,62,Low,16x20
188,Yonex,259,105,27,269,18.14,24.94,26,72,Medium,16x18
189,Wilson,199,97,27,289,22.67,27.21,23,68,Medium,16x19
190,Head,99.95,115,27.5,224,25.85,29.93,28.5,74,High,14x17
191,Dunlop,89,105,27.25,269,18.14,24.94,23,63,Medium,16x19
192,Dunlop,99.99,100,27,286,20.41,27.21,23,67,Medium,16x19
193,Head,89.95,98,27,295,23.58,28.12,21,57,Low,18x20
194,Gamma,219.99,117,27,249,24.94,29.48,22,64,High,16x19
195,Pacific,149.95,100,27.36,286,22.67,27.21,25,57,Low,16x19
196,Pro,159.99,100,27,320,22.67,29.48,22,63,Low,16x20
197,Babolat,199,107,27.2,286,22.67,26.76,23,66,Medium,16x19
198,Babolat,199,100,27,286,22.67,26.76,23,67,Medium,16x19
199,Pro,169.99,105,27.5,258,22.67,29.48,25,68,High,16x19
200,Yonex,229,95,27,309,20.41,27.21,21,60,Low,16x20
201,Babolat,219,100,27.5,301,22.67,26.76,23,69,Medium,16x19
202,Genesis,169.90,100,27,315,20.41,29.48,22,72,High,16x19
